Padrao,Busca,DensidadeRegiao,NMPA_Parcial
721,DFS,0.11763454317897372,733
461,DFS,0.11763454317897372,733
693,DFS,0.11763454317897372,733
606,DFS,0.11763454317897372,733
551,DFS,0.11763454317897372,733
544,DFS,0.11763454317897372,733
484,DFS,0.11763454317897372,733
467,DFS,0.11763454317897372,733
404,DFS,0.11763454317897372,733
305,DFS,0.11763454317897372,733
174,DFS,0.11763454317897372,733
126,DFS,0.11763454317897372,733
785,DFS,0.11763454317897372,733
778,DFS,0.11763454317897372,733
775,DFS,0.11763454317897372,733
769,DFS,0.11763454317897372,733
766,DFS,0.11763454317897372,733
762,DFS,0.11763454317897372,733
761,DFS,0.11763454317897372,733
759,DFS,0.11763454317897372,733
732,DFS,0.11763454317897372,733
730,DFS,0.11763454317897372,733
727,DFS,0.11763454317897372,733
725,DFS,0.11763454317897372,733
724,DFS,0.11763454317897372,733
720,DFS,0.11763454317897372,733
699,DFS,0.11763454317897372,733
682,DFS,0.11763454317897372,733
673,DFS,0.11763454317897372,733
668,DFS,0.11763454317897372,733
655,DFS,0.11763454317897372,733
648,DFS,0.11763454317897372,733
631,DFS,0.11763454317897372,733
601,DFS,0.11763454317897372,733
597,DFS,0.11763454317897372,733
595,DFS,0.11763454317897372,733
588,DFS,0.11763454317897372,733
587,DFS,0.11763454317897372,733
585,DFS,0.11763454317897372,733
573,DFS,0.11763454317897372,733
570,DFS,0.11763454317897372,733
567,DFS,0.11763454317897372,733
566,DFS,0.11763454317897372,733
553,DFS,0.11763454317897372,733
541,DFS,0.11763454317897372,733
538,DFS,0.11763454317897372,733
536,DFS,0.11763454317897372,733
534,DFS,0.11763454317897372,733
530,DFS,0.11763454317897372,733
527,DFS,0.11763454317897372,733
520,DFS,0.11763454317897372,733
513,DFS,0.11763454317897372,733
511,DFS,0.11763454317897372,733
507,DFS,0.11763454317897372,733
500,DFS,0.11763454317897372,733
481,DFS,0.11763454317897372,733
468,DFS,0.11763454317897372,733
463,DFS,0.11763454317897372,733
455,DFS,0.11763454317897372,733
442,DFS,0.11763454317897372,733
441,DFS,0.11763454317897372,733
438,DFS,0.11763454317897372,733
427,DFS,0.11763454317897372,733
420,DFS,0.11763454317897372,733
418,DFS,0.11763454317897372,733
400,DFS,0.11763454317897372,733
391,DFS,0.11763454317897372,733
386,DFS,0.11763454317897372,733
380,DFS,0.11763454317897372,733
374,DFS,0.11763454317897372,733
370,DFS,0.11763454317897372,733
366,DFS,0.11763454317897372,733
365,DFS,0.11763454317897372,733
356,DFS,0.11763454317897372,733
354,DFS,0.11763454317897372,733
343,DFS,0.11763454317897372,733
339,DFS,0.11763454317897372,733
336,DFS,0.11763454317897372,733
318,DFS,0.11763454317897372,733
317,DFS,0.11763454317897372,733
314,DFS,0.11763454317897372,733
304,DFS,0.11763454317897372,733
296,DFS,0.11763454317897372,733
288,DFS,0.11763454317897372,733
268,DFS,0.11763454317897372,733
250,DFS,0.11763454317897372,733
248,DFS,0.11763454317897372,733
246,DFS,0.11763454317897372,733
245,DFS,0.11763454317897372,733
241,DFS,0.11763454317897372,733
236,DFS,0.11763454317897372,733
204,DFS,0.11763454317897372,733
203,DFS,0.11763454317897372,733
201,DFS,0.11763454317897372,733
199,DFS,0.11763454317897372,733
189,DFS,0.11763454317897372,733
187,DFS,0.11763454317897372,733
177,DFS,0.11763454317897372,733
152,DFS,0.11763454317897372,733
151,DFS,0.11763454317897372,733
146,DFS,0.11763454317897372,733
128,DFS,0.11763454317897372,733
119,DFS,0.11763454317897372,733
111,DFS,0.11763454317897372,733
108,DFS,0.11763454317897372,733
93,DFS,0.11763454317897372,733
86,DFS,0.11763454317897372,733
85,DFS,0.11763454317897372,733
76,DFS,0.11763454317897372,733
58,DFS,0.11763454317897372,733
55,DFS,0.11763454317897372,733
42,DFS,0.11763454317897372,733
38,DFS,0.11763454317897372,733
0,DFS,0.11763454317897372,733
784,DFS,0.11763454317897372,733
640,DFS,0.11763454317897372,733
395,DFS,0.11763454317897372,733
722,DFS,0.11763454317897372,733
630,DFS,0.11763454317897372,733
561,DFS,0.11763454317897372,733
518,DFS,0.11763454317897372,733
379,DFS,0.11763454317897372,733
323,DFS,0.11763454317897372,733
309,DFS,0.11763454317897372,733
243,DFS,0.11763454317897372,733
799,DFS,0.11763454317897372,733
791,DFS,0.11763454317897372,733
786,DFS,0.11763454317897372,733
763,DFS,0.11763454317897372,733
755,DFS,0.11763454317897372,733
745,DFS,0.11763454317897372,733
741,DFS,0.11763454317897372,733
735,DFS,0.11763454317897372,733
734,DFS,0.11763454317897372,733
713,DFS,0.11763454317897372,733
703,DFS,0.11763454317897372,733
689,DFS,0.11763454317897372,733
687,DFS,0.11763454317897372,733
680,DFS,0.11763454317897372,733
