Padrao,Busca,NMPA_Parcial
0,DFS,5
16,BFS,9
19,BFS,10
48,BFS,10
49,BFS,11
56,BFS,11
99,BFS,12
139,BFS,12
177,BFS,13
205,BFS,13
228,BFS,13
249,BFS,13
279,BFS,13
282,BFS,13
284,BFS,13
300,BFS,13
345,BFS,13
377,BFS,13
386,BFS,13
489,BFS,15
529,BFS,17
600,BFS,17
609,BFS,17
747,BFS,18
772,BFS,19
798,BFS,20
869,BFS,20
884,BFS,20
931,BFS,20
972,BFS,22
989,BFS,22
65,BFS,22
66,BFS,22
75,BFS,22
108,BFS,23
109,BFS,24
117,BFS,26
123,BFS,28
154,BFS,30
162,BFS,32
164,BFS,32
215,BFS,34
226,BFS,34
280,BFS,34
379,BFS,34
395,BFS,36
397,BFS,37
399,BFS,37
406,BFS,39
481,BFS,39
490,BFS,39
492,BFS,40
509,BFS,41
511,BFS,41
516,BFS,41
533,BFS,41
568,BFS,43
601,BFS,43
622,BFS,44
638,BFS,45
669,BFS,46
681,BFS,46
685,BFS,46
692,BFS,46
716,BFS,46
782,BFS,46
784,BFS,47
788,BFS,47
812,BFS,48
831,BFS,48
893,BFS,51
894,BFS,51
909,BFS,52
912,BFS,52
920,BFS,53
925,BFS,53
988,BFS,55
5,BFS,57
47,BFS,58
70,BFS,58
72,BFS,58
92,BFS,59
100,BFS,59
103,BFS,59
163,BFS,61
393,BFS,64
427,BFS,66
434,BFS,67
467,BFS,67
535,BFS,67
700,BFS,69
703,BFS,71
769,BFS,71
833,BFS,74
118,BFS,76
178,BFS,77
184,BFS,78
194,BFS,81
318,BFS,82
328,BFS,83
371,BFS,83
433,BFS,86
478,BFS,88
634,BFS,90
750,BFS,90
857,BFS,90
897,BFS,93
12,BFS,94
59,BFS,95
62,BFS,97
84,BFS,97
101,BFS,100
107,BFS,101
124,BFS,102
156,BFS,106
223,BFS,108
306,BFS,113
364,BFS,114
402,BFS,117
480,BFS,117
558,BFS,119
565,BFS,121
610,BFS,122
619,BFS,124
655,BFS,126
671,BFS,129
686,BFS,132
687,BFS,134
691,BFS,134
745,BFS,135
758,BFS,136
768,BFS,139
791,BFS,144
832,BFS,147
848,BFS,148
862,BFS,150
873,BFS,151
905,BFS,152
917,BFS,154
973,BFS,154
983,BFS,156
991,BFS,156
3,BFS,157
15,BFS,160
32,BFS,160
78,BFS,160
281,BFS,164
290,BFS,165
303,BFS,166
304,BFS,166
308,BFS,167
391,BFS,168
415,BFS,170
423,BFS,172
431,BFS,172
458,BFS,173
464,BFS,175
471,BFS,176
475,BFS,178
487,BFS,179
519,BFS,182
543,BFS,184
631,BFS,191
652,BFS,192
675,BFS,195
706,BFS,196
707,BFS,196
718,BFS,197
820,BFS,198
861,BFS,202
877,BFS,202
880,BFS,204
900,BFS,205
901,BFS,206
906,BFS,208
919,BFS,210
921,BFS,211
936,BFS,212
957,BFS,214
977,BFS,214
79,BFS,215
105,BFS,215
111,BFS,215
122,BFS,217
135,BFS,218
151,BFS,221
155,BFS,224
168,BFS,226
225,BFS,226
268,BFS,226
295,BFS,227
354,BFS,227
420,BFS,229
422,BFS,229
435,BFS,229
447,BFS,230
472,BFS,233
482,BFS,236
497,BFS,237
603,BFS,239
735,BFS,239
746,BFS,239
926,BFS,240
970,BFS,243
994,BFS,243
998,BFS,244
26,BFS,247
51,BFS,250
68,BFS,250
91,BFS,251
153,BFS,253
174,BFS,254
183,BFS,256
237,BFS,257
253,BFS,259
261,BFS,259
266,BFS,259
296,BFS,259
327,BFS,259
335,BFS,261
351,BFS,261
375,BFS,262
380,BFS,262
445,BFS,264
450,BFS,266
456,BFS,268
503,BFS,269
