Padrao,Busca,NMPA_Parcial
0,DFS,10
2,BFS,10
3,BFS,12
23,BFS,18
29,BFS,19
46,BFS,19
87,BFS,20
98,BFS,21
118,BFS,21
126,BFS,22
128,BFS,23
140,BFS,24
150,BFS,25
158,BFS,25
163,BFS,26
173,BFS,26
174,BFS,26
186,BFS,26
187,BFS,27
189,BFS,28
201,BFS,30
235,BFS,31
239,BFS,32
243,BFS,35
244,BFS,38
247,BFS,39
253,BFS,42
267,BFS,45
276,BFS,46
278,BFS,48
293,BFS,49
297,BFS,50
298,BFS,53
304,BFS,56
307,BFS,58
311,BFS,59
312,BFS,59
319,BFS,59
333,BFS,60
337,BFS,62
351,BFS,63
361,BFS,65
375,BFS,68
380,BFS,70
383,BFS,71
390,BFS,72
415,BFS,72
417,BFS,73
418,BFS,74
426,BFS,74
428,BFS,75
431,BFS,79
432,BFS,84
457,BFS,86
461,BFS,90
468,BFS,91
492,BFS,93
493,BFS,98
498,BFS,101
504,BFS,104
520,BFS,109
523,BFS,110
533,BFS,114
536,BFS,118
561,BFS,118
592,BFS,120
594,BFS,122
595,BFS,122
596,BFS,123
606,BFS,128
625,BFS,128
630,BFS,130
635,BFS,132
638,BFS,135
646,BFS,140
647,BFS,141
649,BFS,146
656,BFS,146
659,BFS,149
673,BFS,150
687,BFS,153
690,BFS,154
703,BFS,157
709,BFS,160
710,BFS,163
714,BFS,163
727,BFS,165
730,BFS,167
741,BFS,167
748,BFS,168
749,BFS,171
753,BFS,172
779,BFS,174
784,BFS,176
791,BFS,178
798,BFS,179
20,BFS,181
31,BFS,183
55,BFS,184
75,BFS,184
76,BFS,184
84,BFS,184
85,BFS,189
96,BFS,192
103,BFS,192
136,BFS,192
146,BFS,193
182,BFS,193
191,BFS,197
228,BFS,200
241,BFS,203
252,BFS,204
281,BFS,206
284,BFS,213
299,BFS,218
309,BFS,224
313,BFS,225
369,BFS,232
373,BFS,233
416,BFS,234
419,BFS,238
422,BFS,240
447,BFS,242
450,BFS,246
453,BFS,249
483,BFS,253
496,BFS,255
500,BFS,257
528,BFS,258
531,BFS,260
532,BFS,261
545,BFS,263
546,BFS,264
566,BFS,266
571,BFS,268
585,BFS,270
587,BFS,274
590,BFS,276
591,BFS,279
604,BFS,280
616,BFS,284
626,BFS,286
643,BFS,287
648,BFS,289
664,BFS,290
684,BFS,291
688,BFS,294
689,BFS,294
700,BFS,297
722,BFS,300
738,BFS,302
742,BFS,307
754,BFS,312
769,BFS,313
770,BFS,314
790,BFS,318
796,BFS,320
19,BFS,323
24,BFS,324
41,BFS,328
42,BFS,332
62,BFS,336
77,BFS,339
80,BFS,343
101,BFS,345
110,BFS,347
121,BFS,349
125,BFS,354
138,BFS,358
145,BFS,360
148,BFS,363
155,BFS,366
184,BFS,368
203,BFS,372
207,BFS,375
210,BFS,377
216,BFS,383
218,BFS,383
233,BFS,384
251,BFS,385
268,BFS,389
272,BFS,390
274,BFS,393
303,BFS,396
335,BFS,398
336,BFS,405
346,BFS,409
347,BFS,411
352,BFS,412
356,BFS,412
357,BFS,413
362,BFS,414
388,BFS,417
391,BFS,419
393,BFS,423
394,BFS,425
403,BFS,425
408,BFS,430
414,BFS,431
427,BFS,433
434,BFS,435
442,BFS,441
452,BFS,444
488,BFS,446
521,BFS,449
524,BFS,451
526,BFS,453
559,BFS,455
581,BFS,457
608,BFS,458
610,BFS,458
611,BFS,460
631,BFS,463
637,BFS,464
677,BFS,467
678,BFS,470
693,BFS,471
705,BFS,472
712,BFS,472
750,BFS,473
757,BFS,475
759,BFS,477
764,BFS,480
772,BFS,485
774,BFS,488
785,BFS,489
793,BFS,491
11,BFS,493
15,BFS,495
22,BFS,496
26,BFS,496
32,BFS,496
56,BFS,496
60,BFS,499
79,BFS,501
86,BFS,505
95,BFS,508
100,BFS,510
104,BFS,510
105,BFS,512
109,BFS,513
115,BFS,513
122,BFS,513
124,BFS,515
129,BFS,515
135,BFS,517
137,BFS,518
226,BFS,522
232,BFS,523
234,BFS,526
237,BFS,526
240,BFS,530
260,BFS,530
262,BFS,533
282,BFS,533
283,BFS,534
285,BFS,536
289,BFS,538
292,BFS,541
296,BFS,542
315,BFS,543
316,BFS,543
317,BFS,544
318,BFS,547
326,BFS,548
329,BFS,550
344,BFS,551
360,BFS,551
365,BFS,553
385,BFS,554
389,BFS,556
396,BFS,558
397,BFS,559
399,BFS,559
413,BFS,562
420,BFS,562
424,BFS,563
437,BFS,566
444,BFS,567
449,BFS,568
454,BFS,569
458,BFS,572
459,BFS,572
464,BFS,574
474,BFS,575
476,BFS,575
481,BFS,576
482,BFS,577
484,BFS,579
487,BFS,580
491,BFS,582
494,BFS,582
506,BFS,583
510,BFS,584
511,BFS,584
513,BFS,587
514,BFS,589
515,BFS,589
522,BFS,589
534,BFS,590
541,BFS,591
547,BFS,591
548,BFS,592
552,BFS,593
555,BFS,593
560,BFS,595
568,BFS,596
572,BFS,596
573,BFS,596
575,BFS,596
579,BFS,597
600,BFS,598
607,BFS,600
614,BFS,601
619,BFS,602
636,BFS,603
641,BFS,604
670,BFS,606
676,BFS,608
681,BFS,609
683,BFS,609
698,BFS,609
725,BFS,610
726,BFS,612
729,BFS,612
733,BFS,612
734,BFS,615
739,BFS,616
744,BFS,617
766,BFS,618
767,BFS,618
775,BFS,618
783,BFS,619
5,BFS,620
6,BFS,620
18,BFS,620
30,BFS,620
39,BFS,620
53,BFS,620
70,BFS,620
78,BFS,620
90,BFS,620
108,BFS,621
142,BFS,622
153,BFS,623
194,BFS,623
202,BFS,623
206,BFS,624
212,BFS,626
213,BFS,626
215,BFS,628
265,BFS,630
266,BFS,631
270,BFS,633
271,BFS,634
286,BFS,634
310,BFS,635
376,BFS,636
392,BFS,636
423,BFS,636
429,BFS,636
441,BFS,638
448,BFS,638
463,BFS,638
467,BFS,640
473,BFS,640
486,BFS,641
527,BFS,642
556,BFS,643
584,BFS,643
599,BFS,644
617,BFS,644
621,BFS,645
622,BFS,645
628,BFS,646
629,BFS,647
665,BFS,647
680,BFS,647
694,BFS,648
702,BFS,649
713,BFS,649
718,BFS,650
721,BFS,650
728,BFS,650
745,BFS,650
751,BFS,651
761,BFS,651
797,BFS,652
7,BFS,652
9,BFS,652
35,BFS,654
37,BFS,656
61,BFS,656
66,BFS,658
72,BFS,658
89,BFS,659
102,BFS,660
127,BFS,661
141,BFS,661
162,BFS,661
196,BFS,662
225,BFS,662
275,BFS,662
324,BFS,662
377,BFS,662
379,BFS,662
406,BFS,664
411,BFS,665
438,BFS,666
465,BFS,667
553,BFS,668
558,BFS,669
569,BFS,669
570,BFS,669
574,BFS,669
593,BFS,669
602,BFS,669
603,BFS,670
671,BFS,670
685,BFS,670
706,BFS,670
717,BFS,671
732,BFS,671
765,BFS,671
781,BFS,672
1,BFS,672
21,BFS,672
25,BFS,674
27,BFS,674
33,BFS,674
45,BFS,674
48,BFS,674
49,BFS,674
65,BFS,675
112,BFS,675
114,BFS,675
116,BFS,675
133,BFS,676
149,BFS,677
154,BFS,679
157,BFS,679
176,BFS,679
181,BFS,679
185,BFS,680
193,BFS,680
197,BFS,680
208,BFS,681
217,BFS,682
224,BFS,683
249,BFS,685
295,BFS,686
302,BFS,686
334,BFS,687
342,BFS,688
358,BFS,688
386,BFS,688
409,BFS,689
410,BFS,691
451,BFS,691
472,BFS,692
480,BFS,693
501,BFS,694
517,BFS,694
580,BFS,694
597,BFS,694
642,BFS,695
645,BFS,695
660,BFS,695
666,BFS,696
704,BFS,698
719,BFS,698
724,BFS,698
736,BFS,698
756,BFS,698
763,BFS,700
773,BFS,700
776,BFS,700
782,BFS,700
788,BFS,701
792,BFS,701
4,BFS,702
47,BFS,702
54,BFS,702
67,BFS,702
69,BFS,702
81,BFS,703
131,BFS,704
144,BFS,704
199,BFS,705
256,BFS,705
261,BFS,705
280,BFS,705
291,BFS,705
305,BFS,705
306,BFS,705
325,BFS,706
349,BFS,707
367,BFS,708
387,BFS,708
456,BFS,708
469,BFS,708
505,BFS,709
516,BFS,709
565,BFS,709
