Padrão,Densidade,Busca
58,0.03540100250626566,DFS
353,0.03540100250626566,DFS
22,0.03540100250626566,DFS
363,0.03540100250626566,DFS
16,0.03540100250626566,DFS
107,0.03540100250626566,DFS
153,0.03540100250626566,DFS
191,0.03540100250626566,DFS
204,0.03540100250626566,DFS
208,0.03540100250626566,DFS
226,0.03540100250626566,DFS
237,0.03540100250626566,DFS
238,0.03540100250626566,DFS
267,0.03540100250626566,DFS
272,0.03540100250626566,DFS
280,0.03540100250626566,DFS
335,0.03540100250626566,DFS
338,0.03540100250626566,DFS
357,0.03540100250626566,DFS
384,0.03540100250626566,DFS
398,0.03540100250626566,DFS
56,0.03540100250626566,DFS
368,0.03540100250626566,DFS
71,0.03540100250626566,DFS
196,0.03540100250626566,DFS
325,0.03540100250626566,DFS
342,0.03540100250626566,DFS
351,0.03540100250626566,DFS
57,0.03540100250626566,DFS
13,0.03540100250626566,DFS
20,0.03540100250626566,DFS
60,0.03540100250626566,DFS
70,0.03540100250626566,DFS
103,0.03540100250626566,DFS
113,0.03540100250626566,DFS
166,0.03540100250626566,DFS
197,0.03540100250626566,DFS
207,0.03540100250626566,DFS
232,0.03540100250626566,DFS
241,0.03540100250626566,DFS
271,0.03540100250626566,DFS
291,0.03540100250626566,DFS
314,0.03540100250626566,DFS
373,0.03540100250626566,DFS
392,0.03540100250626566,DFS
136,0.03540100250626566,DFS
37,0.03540100250626566,DFS
78,0.03540100250626566,DFS
155,0.03540100250626566,DFS
181,0.03540100250626566,DFS
220,0.03540100250626566,DFS
240,0.03540100250626566,DFS
354,0.03540100250626566,DFS
188,0.03540100250626566,DFS
39,0.03540100250626566,DFS
118,0.03540100250626566,DFS
162,0.03540100250626566,DFS
163,0.03540100250626566,DFS
227,0.03540100250626566,DFS
252,0.03540100250626566,DFS
258,0.03540100250626566,DFS
263,0.03540100250626566,DFS
274,0.03540100250626566,DFS
308,0.03540100250626566,DFS
343,0.03540100250626566,DFS
42,0.03540100250626566,DFS
131,0.03540100250626566,DFS
137,0.03540100250626566,DFS
167,0.03540100250626566,DFS
218,0.03540100250626566,DFS
259,0.03540100250626566,DFS
296,0.03540100250626566,DFS
360,0.03540100250626566,DFS
53,0.03540100250626566,DFS
35,0.03540100250626566,DFS
41,0.03540100250626566,DFS
59,0.03540100250626566,DFS
74,0.03540100250626566,DFS
81,0.03540100250626566,DFS
84,0.03540100250626566,DFS
151,0.03540100250626566,DFS
160,0.03540100250626566,DFS
193,0.03540100250626566,DFS
254,0.03540100250626566,DFS
331,0.03540100250626566,DFS
339,0.03540100250626566,DFS
378,0.03540100250626566,DFS
75,0.03540100250626566,DFS
121,0.03540100250626566,DFS
4,0.03540100250626566,DFS
14,0.03540100250626566,DFS
33,0.03540100250626566,DFS
50,0.03540100250626566,DFS
54,0.03540100250626566,DFS
64,0.03540100250626566,DFS
124,0.03540100250626566,DFS
134,0.03540100250626566,DFS
154,0.03540100250626566,DFS
171,0.03540100250626566,DFS
210,0.03540100250626566,DFS
211,0.03540100250626566,DFS
266,0.03540100250626566,DFS
268,0.03540100250626566,DFS
290,0.03540100250626566,DFS
294,0.03540100250626566,DFS
305,0.03540100250626566,DFS
319,0.03540100250626566,DFS
327,0.03540100250626566,DFS
340,0.03540100250626566,DFS
347,0.03540100250626566,DFS
355,0.03540100250626566,DFS
358,0.03540100250626566,DFS
376,0.03540100250626566,DFS
380,0.03540100250626566,DFS
399,0.03540100250626566,DFS
180,0.03540100250626566,DFS
5,0.03540100250626566,DFS
186,0.03540100250626566,DFS
199,0.03540100250626566,DFS
200,0.03540100250626566,DFS
307,0.03540100250626566,DFS
91,0.03540100250626566,DFS
47,0.03540100250626566,DFS
9,0.03540100250626566,DFS
109,0.03540100250626566,DFS
149,0.03540100250626566,DFS
195,0.03540100250626566,DFS
221,0.03540100250626566,DFS
242,0.03540100250626566,DFS
257,0.03540100250626566,DFS
350,0.03540100250626566,DFS
382,0.03540100250626566,DFS
96,0.03540100250626566,DFS
10,0.03540100250626566,DFS
63,0.03540100250626566,DFS
89,0.03540100250626566,DFS
111,0.03540100250626566,DFS
169,0.03540100250626566,DFS
260,0.03540100250626566,DFS
317,0.03540100250626566,DFS
364,0.03540100250626566,DFS
97,0.03540100250626566,DFS
312,0.03540100250626566,DFS
215,0.03540100250626566,DFS
15,0.03540100250626566,DFS
143,0.03540100250626566,DFS
158,0.03540100250626566,DFS
192,0.03540100250626566,DFS
225,0.03540100250626566,DFS
323,0.03540100250626566,DFS
330,0.03540100250626566,DFS
361,0.03540100250626566,DFS
381,0.03540100250626566,DFS
21,0.03540100250626566,DFS
26,0.03540100250626566,DFS
43,0.03540100250626566,DFS
69,0.03540100250626566,DFS
102,0.03540100250626566,DFS
264,0.03540100250626566,DFS
281,0.03540100250626566,DFS
324,0.03540100250626566,DFS
367,0.03540100250626566,DFS
395,0.03540100250626566,DFS
397,0.03540100250626566,DFS
80,0.03540100250626566,DFS
90,0.03540100250626566,DFS
123,0.03540100250626566,DFS
130,0.03540100250626566,DFS
142,0.03540100250626566,DFS
183,0.03540100250626566,DFS
283,0.03540100250626566,DFS
362,0.03540100250626566,DFS
303,0.03540100250626566,DFS
25,0.03540100250626566,DFS
88,0.03540100250626566,DFS
152,0.03540100250626566,DFS
388,0.03540100250626566,DFS
391,0.03540100250626566,DFS
224,0.03540100250626566,DFS
321,0.03540100250626566,DFS
48,0.03540100250626566,DFS
100,0.03540100250626566,DFS
108,0.03540100250626566,DFS
110,0.03540100250626566,DFS
125,0.03540100250626566,DFS
178,0.03540100250626566,DFS
292,0.03540100250626566,DFS
313,0.03540100250626566,DFS
72,0.03540100250626566,DFS
40,0.03540100250626566,DFS
46,0.03540100250626566,DFS
73,0.03540100250626566,DFS
147,0.03540100250626566,DFS
230,0.03540100250626566,DFS
262,0.03540100250626566,DFS
286,0.03540100250626566,DFS
293,0.03540100250626566,DFS
371,0.03540100250626566,DFS
234,0.03540100250626566,DFS
17,0.03540100250626566,DFS
24,0.03540100250626566,DFS
132,0.03540100250626566,DFS
182,0.03540100250626566,DFS
217,0.03540100250626566,DFS
223,0.03540100250626566,DFS
322,0.03540100250626566,DFS
365,0.03540100250626566,DFS
377,0.03540100250626566,DFS
394,0.03540100250626566,DFS
369,0.03540100250626566,DFS
18,0.03540100250626566,DFS
95,0.03540100250626566,DFS
139,0.03540100250626566,DFS
174,0.03540100250626566,DFS
177,0.03540100250626566,DFS
185,0.03540100250626566,DFS
276,0.03540100250626566,DFS
248,0.03540100250626566,DFS
104,0.03540100250626566,DFS
0,0.03540100250626566,DFS
61,0.03540100250626566,DFS
126,0.03540100250626566,DFS
128,0.03540100250626566,DFS
265,0.03540100250626566,DFS
270,0.03540100250626566,DFS
332,0.03540100250626566,DFS
386,0.03540100250626566,DFS
236,0.03540100250626566,DFS
19,0.03540100250626566,DFS
68,0.03540100250626566,DFS
93,0.03540100250626566,DFS
106,0.03540100250626566,DFS
277,0.03540100250626566,DFS
298,0.03540100250626566,DFS
300,0.03540100250626566,DFS
328,0.03540100250626566,DFS
36,0.03540100250626566,DFS
112,0.03540100250626566,DFS
164,0.03540100250626566,DFS
235,0.03540100250626566,DFS
396,0.03540100250626566,DFS
