Padrão,Densidade,Busca
751,0.06238238238238238,DFS
83,0.06238238238238238,DFS
69,0.06238238238238238,DFS
452,0.06238238238238238,DFS
9,0.06238238238238238,DFS
15,0.06238238238238238,DFS
24,0.06238238238238238,DFS
28,0.06238238238238238,DFS
53,0.06238238238238238,DFS
54,0.06238238238238238,DFS
60,0.06238238238238238,DFS
75,0.06238238238238238,DFS
93,0.06238238238238238,DFS
111,0.06238238238238238,DFS
126,0.06238238238238238,DFS
154,0.06238238238238238,DFS
158,0.06238238238238238,DFS
230,0.06238238238238238,DFS
296,0.06238238238238238,DFS
356,0.06238238238238238,DFS
381,0.06238238238238238,DFS
383,0.06238238238238238,DFS
424,0.06238238238238238,DFS
457,0.06238238238238238,DFS
493,0.06238238238238238,DFS
512,0.06238238238238238,DFS
519,0.06238238238238238,DFS
587,0.06238238238238238,DFS
603,0.06238238238238238,DFS
605,0.06238238238238238,DFS
620,0.06238238238238238,DFS
672,0.06238238238238238,DFS
692,0.06238238238238238,DFS
706,0.06238238238238238,DFS
743,0.06238238238238238,DFS
747,0.06238238238238238,DFS
750,0.06238238238238238,DFS
780,0.06238238238238238,DFS
827,0.06238238238238238,DFS
863,0.06238238238238238,DFS
896,0.06238238238238238,DFS
923,0.06238238238238238,DFS
988,0.06238238238238238,DFS
268,0.06238238238238238,DFS
911,0.06238238238238238,DFS
195,0.06238238238238238,DFS
240,0.06238238238238238,DFS
373,0.06238238238238238,DFS
6,0.06238238238238238,DFS
20,0.06238238238238238,DFS
36,0.06238238238238238,DFS
39,0.06238238238238238,DFS
42,0.06238238238238238,DFS
55,0.06238238238238238,DFS
74,0.06238238238238238,DFS
86,0.06238238238238238,DFS
97,0.06238238238238238,DFS
98,0.06238238238238238,DFS
113,0.06238238238238238,DFS
127,0.06238238238238238,DFS
142,0.06238238238238238,DFS
148,0.06238238238238238,DFS
207,0.06238238238238238,DFS
208,0.06238238238238238,DFS
227,0.06238238238238238,DFS
231,0.06238238238238238,DFS
237,0.06238238238238238,DFS
241,0.06238238238238238,DFS
244,0.06238238238238238,DFS
253,0.06238238238238238,DFS
261,0.06238238238238238,DFS
271,0.06238238238238238,DFS
282,0.06238238238238238,DFS
286,0.06238238238238238,DFS
288,0.06238238238238238,DFS
310,0.06238238238238238,DFS
332,0.06238238238238238,DFS
340,0.06238238238238238,DFS
341,0.06238238238238238,DFS
343,0.06238238238238238,DFS
350,0.06238238238238238,DFS
354,0.06238238238238238,DFS
378,0.06238238238238238,DFS
388,0.06238238238238238,DFS
403,0.06238238238238238,DFS
409,0.06238238238238238,DFS
423,0.06238238238238238,DFS
433,0.06238238238238238,DFS
438,0.06238238238238238,DFS
441,0.06238238238238238,DFS
454,0.06238238238238238,DFS
456,0.06238238238238238,DFS
462,0.06238238238238238,DFS
465,0.06238238238238238,DFS
473,0.06238238238238238,DFS
489,0.06238238238238238,DFS
492,0.06238238238238238,DFS
496,0.06238238238238238,DFS
501,0.06238238238238238,DFS
510,0.06238238238238238,DFS
520,0.06238238238238238,DFS
541,0.06238238238238238,DFS
545,0.06238238238238238,DFS
549,0.06238238238238238,DFS
