Padrão,Densidade,Busca
18,0.17417417417417416,DFS
6,0.17417417417417416,DFS
7,0.17417417417417416,DFS
27,0.17417417417417416,DFS
2,0.17417417417417416,DFS
8,0.17417417417417416,DFS
9,0.17417417417417416,DFS
14,0.17417417417417416,DFS
19,0.17417417417417416,DFS
20,0.17417417417417416,DFS
24,0.17417417417417416,DFS
25,0.17417417417417416,DFS
32,0.17417417417417416,DFS
11,0.17417417417417416,DFS
21,0.17417417417417416,DFS
5,0.17417417417417416,DFS
15,0.17417417417417416,DFS
16,0.17417417417417416,DFS
10,0.17417417417417416,DFS
13,0.17417417417417416,DFS
23,0.17417417417417416,DFS
22,0.17417417417417416,DFS
26,0.17417417417417416,DFS
31,0.17417417417417416,DFS
28,0.17417417417417416,DFS
3,0.17417417417417416,DFS
0,0.17417417417417416,DFS
1,0.17417417417417416,DFS
17,0.17417417417417416,DFS
35,0.17417417417417416,DFS
34,0.17417417417417416,DFS
36,0.17417417417417416,DFS
29,0.17417417417417416,DFS
30,0.17417417417417416,DFS
