Padrao,Busca,DensidadeRegiao,NMPA_Parcial
389,DFS,0.18158158158158158,972
977,DFS,0.18158158158158158,972
54,DFS,0.18158158158158158,972
899,DFS,0.18158158158158158,972
616,DFS,0.18158158158158158,972
424,DFS,0.18158158158158158,972
266,DFS,0.18158158158158158,972
78,DFS,0.18158158158158158,972
995,DFS,0.18158158158158158,972
993,DFS,0.18158158158158158,972
987,DFS,0.18158158158158158,972
956,DFS,0.18158158158158158,972
939,DFS,0.18158158158158158,972
905,DFS,0.18158158158158158,972
832,DFS,0.18158158158158158,972
819,DFS,0.18158158158158158,972
817,DFS,0.18158158158158158,972
811,DFS,0.18158158158158158,972
804,DFS,0.18158158158158158,972
759,DFS,0.18158158158158158,972
703,DFS,0.18158158158158158,972
659,DFS,0.18158158158158158,972
642,DFS,0.18158158158158158,972
639,DFS,0.18158158158158158,972
615,DFS,0.18158158158158158,972
599,DFS,0.18158158158158158,972
594,DFS,0.18158158158158158,972
577,DFS,0.18158158158158158,972
567,DFS,0.18158158158158158,972
494,DFS,0.18158158158158158,972
490,DFS,0.18158158158158158,972
421,DFS,0.18158158158158158,972
399,DFS,0.18158158158158158,972
350,DFS,0.18158158158158158,972
344,DFS,0.18158158158158158,972
308,DFS,0.18158158158158158,972
269,DFS,0.18158158158158158,972
237,DFS,0.18158158158158158,972
234,DFS,0.18158158158158158,972
229,DFS,0.18158158158158158,972
218,DFS,0.18158158158158158,972
203,DFS,0.18158158158158158,972
202,DFS,0.18158158158158158,972
166,DFS,0.18158158158158158,972
156,DFS,0.18158158158158158,972
153,DFS,0.18158158158158158,972
149,DFS,0.18158158158158158,972
46,DFS,0.18158158158158158,972
12,DFS,0.18158158158158158,972
997,DFS,0.18158158158158158,972
991,DFS,0.18158158158158158,972
989,DFS,0.18158158158158158,972
984,DFS,0.18158158158158158,972
976,DFS,0.18158158158158158,972
975,DFS,0.18158158158158158,972
971,DFS,0.18158158158158158,972
968,DFS,0.18158158158158158,972
965,DFS,0.18158158158158158,972
961,DFS,0.18158158158158158,972
960,DFS,0.18158158158158158,972
953,DFS,0.18158158158158158,972
952,DFS,0.18158158158158158,972
951,DFS,0.18158158158158158,972
944,DFS,0.18158158158158158,972
943,DFS,0.18158158158158158,972
940,DFS,0.18158158158158158,972
924,DFS,0.18158158158158158,972
920,DFS,0.18158158158158158,972
915,DFS,0.18158158158158158,972
901,DFS,0.18158158158158158,972
900,DFS,0.18158158158158158,972
898,DFS,0.18158158158158158,972
896,DFS,0.18158158158158158,972
883,DFS,0.18158158158158158,972
876,DFS,0.18158158158158158,972
875,DFS,0.18158158158158158,972
873,DFS,0.18158158158158158,972
871,DFS,0.18158158158158158,972
869,DFS,0.18158158158158158,972
867,DFS,0.18158158158158158,972
864,DFS,0.18158158158158158,972
862,DFS,0.18158158158158158,972
860,DFS,0.18158158158158158,972
857,DFS,0.18158158158158158,972
852,DFS,0.18158158158158158,972
847,DFS,0.18158158158158158,972
845,DFS,0.18158158158158158,972
844,DFS,0.18158158158158158,972
843,DFS,0.18158158158158158,972
838,DFS,0.18158158158158158,972
835,DFS,0.18158158158158158,972
833,DFS,0.18158158158158158,972
831,DFS,0.18158158158158158,972
825,DFS,0.18158158158158158,972
818,DFS,0.18158158158158158,972
815,DFS,0.18158158158158158,972
807,DFS,0.18158158158158158,972
805,DFS,0.18158158158158158,972
802,DFS,0.18158158158158158,972
798,DFS,0.18158158158158158,972
793,DFS,0.18158158158158158,972
791,DFS,0.18158158158158158,972
789,DFS,0.18158158158158158,972
788,DFS,0.18158158158158158,972
786,DFS,0.18158158158158158,972
784,DFS,0.18158158158158158,972
778,DFS,0.18158158158158158,972
765,DFS,0.18158158158158158,972
763,DFS,0.18158158158158158,972
756,DFS,0.18158158158158158,972
751,DFS,0.18158158158158158,972
750,DFS,0.18158158158158158,972
745,DFS,0.18158158158158158,972
743,DFS,0.18158158158158158,972
738,DFS,0.18158158158158158,972
737,DFS,0.18158158158158158,972
732,DFS,0.18158158158158158,972
718,DFS,0.18158158158158158,972
715,DFS,0.18158158158158158,972
694,DFS,0.18158158158158158,972
690,DFS,0.18158158158158158,972
688,DFS,0.18158158158158158,972
687,DFS,0.18158158158158158,972
683,DFS,0.18158158158158158,972
682,DFS,0.18158158158158158,972
679,DFS,0.18158158158158158,972
675,DFS,0.18158158158158158,972
652,DFS,0.18158158158158158,972
650,DFS,0.18158158158158158,972
644,DFS,0.18158158158158158,972
643,DFS,0.18158158158158158,972
635,DFS,0.18158158158158158,972
632,DFS,0.18158158158158158,972
625,DFS,0.18158158158158158,972
619,DFS,0.18158158158158158,972
617,DFS,0.18158158158158158,972
608,DFS,0.18158158158158158,972
595,DFS,0.18158158158158158,972
